,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Port Alfred,8,ZA,1551415527,94,-33.59,26.89,66.99,5.99
1,Yellowknife,5,CA,1551415844,61,62.45,-114.38,-20.21,9.17
2,Minot,90,US,1551415740,77,48.23,-101.3,12.0,3.96
3,Mataura,0,NZ,1551415807,75,-46.19,168.86,57.99,17.0
4,Atuona,8,PF,1551415860,100,-9.8,-139.03,81.08,9.44
5,Moron,80,VE,1551415346,94,10.49,-68.2,67.99,3.06
6,Vaini,0,IN,1551412800,22,15.34,74.49,80.6,3.36
7,Flagstaff,1,US,1551415808,64,35.2,-111.65,48.0,17.22
8,Puerto Colombia,40,CO,1551415611,83,10.99,-74.96,78.01,5.82
9,Evensk,0,RU,1551415873,100,61.92,159.24,0.44,3.51
10,Mahebourg,40,MU,1551415740,79,-20.41,57.7,84.2,6.93
11,Carman,0,CA,1551415828,66,49.51,-98.0,10.4,6.93
12,Bien Hoa,40,VN,1551414600,46,10.95,106.82,89.6,3.36
13,Makat,88,KZ,1551415877,100,47.65,53.35,31.99,8.99
14,Great Yarmouth,88,GB,1551415805,93,52.61,1.73,45.0,6.93
15,Hilo,90,US,1551415700,68,19.71,-155.08,69.8,16.11
16,Curitibanos,56,BR,1551415881,95,-27.29,-50.58,55.48,1.72
17,Rikitea,92,PF,1551415485,100,-23.12,-134.97,76.54,9.1
18,Ushuaia,75,AR,1551412800,100,-54.81,-68.31,42.8,10.29
19,Jamestown,0,AU,1551415885,36,-33.21,138.6,92.33,5.19
20,Bluff,8,AU,1551415886,36,-23.58,149.07,86.98,12.35
21,Tasiilaq,92,GL,1551415873,93,65.61,-37.64,26.05,53.62
22,Artvin,20,TR,1551414600,86,41.18,41.83,37.4,13.87
23,Cape Town,75,ZA,1551415865,93,-33.93,18.42,66.2,8.05
24,Escarcega,0,MX,1551415890,47,18.61,-90.75,80.41,5.86
25,Taksimo,56,RU,1551415892,65,56.36,114.84,26.23,1.95
26,Mazyr,88,BY,1551415893,83,52.05,29.27,32.48,21.85
27,Saquarema,75,BR,1551412800,94,-22.93,-42.51,78.8,1.12
28,Carnarvon,0,ZA,1551415787,55,-30.97,22.13,58.63,2.95
29,Salalah,40,OM,1551412200,73,17.01,54.1,77.0,3.36
30,Port Lincoln,0,AU,1551415898,50,-34.72,135.86,90.26,11.01
31,Bethel,40,US,1551412560,80,60.79,-161.76,37.4,12.75
32,Cidreira,0,BR,1551415901,97,-30.17,-50.22,63.31,5.86
33,Provideniya,90,RU,1551414600,86,64.42,-173.23,33.8,40.26
34,Karratha,24,AU,1551415903,26,-20.74,116.85,101.2,14.7
35,Tuatapere,8,NZ,1551415807,75,-46.13,167.69,57.99,17.0
36,Arraial do Cabo,80,BR,1551415905,100,-22.97,-42.02,74.51,1.61
37,Fare,100,PF,1551415907,98,-16.7,-151.02,83.38,11.9
38,Lumby,90,CA,1551415780,100,50.25,-118.97,26.01,2.24
